Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          146    4    3   0  0   0   0   0   0
1           10  233    1   0  0   1   0   1   1
2            0    0  280   0  0  13   0   0   0
3            1    2    9  22  0  11   0   0   1
4            0    0    1   0  0   1   0   1   0
5           24    1   27   0  0  22   0   0   0
6           15    4    1   0  0   0  19   0   0
7           16    4    3   1  0   4   0  92   1
8            0   13   11   0  0  19   0   5  52
