Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          144    4    4   0  0   1   0   0   0
1           11  233    0   0  0   1   0   0   2
2            0    0  268   1  0  24   0   0   0
3            1    1    7  29  0   6   0   1   1
4            0    0    1   0  0   1   0   0   1
5           25    1   14   2  0  31   0   0   1
6            9    4    0   0  0   0  25   0   1
7           18    3    4   0  0   3   0  91   2
8            0   12    7   0  0  20   0   5  56
