Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          368    4    7   0  0   1   0    4    2
1           40  574    2   0  0   1   0    0    3
2            0    0  672   1  0  63   0    0    0
3            1    1   29  65  0  21   0    1    1
4            0    0    1   0  0   7   0    0    3
5           64    1   47   0  0  75   0    0    1
6           39    7    4   0  0   0  50    0    0
7           43   11    3   0  0  17   0  226    7
8            5   27   25   0  0  42   1   10  144
