Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          365    5    9   0  0   1   0    5    1
1           44  570    2   0  0   1   0    1    2
2            0    0  711  10  0  15   0    0    0
3            1    1   32  65  0  17   0    1    2
4            0    0    1   0  0   7   0    0    3
5           51    1   90   8  0  38   0    0    0
6           14    8    3   0  0   0  75    0    0
7           41   10    8   3  0  13   0  230    2
8            4   28   23   0  0  39   1   10  149
