Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          146    3    3   0  0   0   0   0   1
1           12  231    2   0  0   0   0   0   2
2            0    0  285   7  0   1   0   0   0
3            1    1   10  31  0   1   0   1   1
4            0    0    1   0  0   1   0   0   1
5           25    1   21   3  0  17   0   0   7
6            8    4    0   0  0   0  26   0   1
7           17    4    1   1  0   5   0  89   4
8            0   12    5   1  0  14   0   5  63
