Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          367    4    0   1  0    4   0    5    5
1           13  596    0   0  0    2   2    0    7
2            0    0  732   1  0    3   0    0    0
3            0    1   30  74  0    9   0    0    5
4            0    0    1   0  0    7   0    0    3
5           12    3   38   2  0  124   0    3    6
6            0    2    0   0  0    2  93    0    3
7           18    9    3   6  0    8   0  258    5
8            1    7    2   2  0   48   1    2  191
