Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          363    4    0   0  0   4   2    7    6
1           14  591    1   0  0   3   2    1    8
2            0    0  733   3  0   0   0    0    0
3            0    1   29  75  0   7   0    0    7
4            0    0    4   0  0   4   0    0    3
5           11    3   49   1  0  99   0    3   22
6            0    2    0   0  0   2  91    0    5
7           18    9    5   5  0   7   0  256    7
8            1    7    4   1  0  37   1    2  201
