Predicted    0    1    2  3  4   5  6   7   8
Actual                                       
0          144    4    4  0  0   1  0   0   0
1           12  231    1  0  0   1  0   1   1
2            0    0  285  0  0   8  0   0   0
3            1    1    9  9  0  22  0   1   3
4            0    0    0  0  0   2  0   0   1
5           25    1   19  0  0  26  0   0   3
6           23    4    1  0  0   0  9   0   2
7           16    3    6  0  0   3  0  92   1
8            0   12    1  0  0  21  0   9  57
