Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          146    3    2   0  0   1   0   0   1
1           10  233    2   0  0   0   0   0   2
2            0    0  276   7  0  10   0   0   0
3            1    2    9  26  0   7   0   0   1
4            0    0    1   1  0   0   0   0   1
5           25    1   24   3  0  19   0   0   2
6           11    4    1   0  0   0  23   0   0
7           17    3    5   1  0   4   0  91   0
8            0   11   10   1  0  16   0   5  57
