Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          365    3    1   1  0    4   0    5    7
1           13  594    0   0  0    3   2    0    8
2            0    0  731   2  0    3   0    0    0
3            0    1   33  73  0    5   0    0    7
4            0    0    2   0  0    6   0    0    3
5           11    3   39   1  0  117   0    3   14
6            0    2    0   0  0    2  93    0    3
7           17    9    3   5  0    9   0  256    8
8            1    6    1   0  0   52   2    1  191
